n_train_days,rmse,train_seed
47,0.7887940642079537,3
48,0.7909218803805068,3
49,0.7667997209931903,3
50,0.7587167016656453,3
51,0.7672385622257665,3
52,0.7666679430501936,3
53,0.7676360188080682,3
54,0.7673666405650755,3
55,0.7579994340319399,3
56,0.7617976926450111,3
57,0.7559962254037477,3
58,0.7554177443360987,3
59,0.753186746565869,3
60,0.7521949342089044,3
61,0.7520619129812399,3
62,0.7511412528975161,3
63,0.7491006670553052,3
64,0.7526135377239958,3
65,0.7540957285302752,3
66,0.7518614435299033,3
67,0.6897606370421837,3
68,0.6897751480119173,3
69,0.6884383268091354,3
70,0.689153567435412,3
71,0.6874556678638563,3
72,0.6895051736443517,3
73,0.6904821565627404,3
74,0.6912532283132081,3
75,0.6931764492891643,3
76,0.6921429674110092,3
77,0.6941305302015112,3
78,0.693992170122871,3
79,0.6945084106235041,3
80,0.6941624350479065,3
81,0.6959644494668898,3
82,0.6952233088906675,3
83,0.695949181712408,3
84,0.6948341178462353,3
85,0.6957155646611951,3
86,0.6964613914269459,3
87,0.6983922399460121,3
88,0.6985388759410945,3
89,0.697837203805161,3
90,0.7003830650860481,3
91,0.7011162377382781,3
92,0.7011773798924046,3
93,0.6987015631310227,3
94,0.6958098458397762,3
95,0.6973712073498771,3
96,0.6967140695615743,3
97,0.6965563663572291,3
98,0.6951135755046134,3
99,0.6952188721444675,3
100,0.6949228766359589,3
101,0.6942001183161713,3
102,0.696090055281127,3
103,0.6935788035836657,3
104,0.6935147470425536,3
105,0.6936531673418795,3
106,0.6947408452851775,3
107,0.6907321090265172,3
108,0.6903633370500136,3
109,0.6891282569679643,3
110,0.6906068648081686,3
111,0.6972812740707831,3
112,0.6967415029441069,3
113,0.6983983599663713,3
114,0.697113952603119,3
115,0.6956926305465345,3
116,0.6970202523084298,3
117,0.6977443525066824,3
118,0.6975049274733308,3
119,0.695606032548432,3
120,0.6966885296450614,3
1,1.1914717223804596,4
2,1.145460401036197,4
3,0.8424680742234593,4
4,0.8343969278936691,4
5,0.8342116642991932,4
6,0.80978950428735,4
7,0.7987241607767016,4
8,0.7679418185296466,4
9,0.7828820484498826,4
10,0.782062889744133,4
11,0.8257985765257593,4
12,0.8083923154362629,4
13,0.8031253888549605,4
14,0.8130568550113967,4
15,0.8209681226288423,4
16,0.8056538604965211,4
17,0.8052839095814925,4
18,0.835018272929583,4
19,0.8191328280330084,4
20,0.8168008023696317,4
21,0.8225120481002701,4
22,0.8310840449108217,4
23,0.8180062021624797,4
24,0.8153819895579196,4
25,0.7914946848748291,4
26,0.7921343912432076,4
27,0.7951579587826559,4
28,0.795545863208699,4
29,0.7997889370899696,4
30,0.7957039715795766,4
31,0.7814808083691103,4
32,0.7723977673843412,4
33,0.784268513831932,4
34,0.7816299869578217,4
35,0.8032702628879579,4
36,0.8070299875472197,4
37,0.8037842682793565,4
38,0.8031343004508864,4
39,0.7987193708469648,4
40,0.8037429399373405,4
41,0.8094728231485028,4
42,0.8167050008334459,4
43,0.8162592862635744,4
44,0.8168206813269318,4
45,0.8101455301599795,4
46,0.8083097096955763,4
47,0.8076068639187012,4
48,0.8073879069779675,4
49,0.7885435996485626,4
50,0.7883294598279161,4
51,0.7858448871479419,4
52,0.7920883685691189,4
53,0.791497826423932,4
54,0.7879780646046036,4
55,0.7871259769366141,4
56,0.7910436557798587,4
57,0.7697149284792065,4
58,0.7739522621113731,4
59,0.7703198195669555,4
60,0.7613061577292263,4
61,0.7647900365489771,4
62,0.7637903711293599,4
